"release_date","popularity","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","listener_0","listener_1"
50,45,0,648,883,2,-6,1,64,0,914,65,801,115,254,4,0,1
25,68,0,863,317,0,-16,1,80,141,1,570,808,120,254,4,0,1
51,74,0,588,55,2,-15,1,78,926,0,101,212,102,219,4,0,1
51,77,0,984,283,8,-11,0,686,355,0,93,579,100,180,4,0,1
45,85,1,411,208,11,-11,0,114,965,0,94,508,177,269,3,0,1
6,75,0,587,416,4,-14,0,141,558,0,384,683,113,187,3,0,1
51,83,0,659,306,11,-8,1,56,779,0,91,400,75,198,4,0,1
54,51,0,743,950,5,-6,0,101,2,255,31,830,146,186,4,0,1
52,58,0,771,470,0,-8,0,83,164,0,112,578,110,203,4,0,1
47,94,0,586,868,5,-5,0,77,0,6,82,588,105,214,4,0,1
52,83,1,788,472,6,-7,1,137,297,0,79,548,136,202,4,0,1
48,39,0,546,50,5,-25,1,86,1000,971,98,166,120,113,4,0,1
50,60,0,741,300,8,-12,0,72,756,0,132,472,99,194,4,0,1
51,86,0,441,103,0,-18,1,74,966,5,98,123,137,292,4,0,1
41,64,0,591,419,1,-8,1,55,560,0,228,316,96,274,4,0,1
4,62,0,557,172,9,-16,0,76,966,3,110,450,128,140,4,0,1
39,76,0,655,874,10,-7,0,314,32,84,778,890,192,230,4,0,1
51,57,0,611,45,5,-16,1,141,946,0,100,357,108,208,4,0,1
54,0,0,687,691,2,-10,0,187,414,2,95,501,125,284,4,0,1
54,43,0,735,977,6,-6,1,102,0,960,94,746,148,242,4,0,1
55,37,0,790,920,9,-8,0,102,5,695,64,885,130,326,4,0,1
49,54,0,702,630,6,-7,0,55,226,0,136,917,129,223,4,0,1
46,80,0,724,565,6,-7,1,205,169,0,335,424,100,193,4,0,1
55,45,0,709,934,10,-6,0,127,0,845,5,807,151,306,4,0,1
53,42,0,762,950,7,-8,1,217,3,89,99,812,144,308,4,0,1
54,50,0,560,745,8,-7,0,186,39,0,223,568,168,177,4,0,1
52,64,0,736,604,6,-5,1,632,696,0,141,522,80,156,4,0,1
51,81,0,767,446,11,-7,0,56,379,0,200,408,96,213,4,0,1
49,71,0,615,204,10,-11,0,248,933,0,87,390,76,172,4,0,1
54,90,1,972,607,5,-4,0,104,19,0,92,841,118,212,4,0,1
50,68,1,629,520,4,-7,1,207,657,0,162,277,72,225,4,0,1
38,31,0,678,971,7,-9,1,152,0,932,449,164,125,354,4,0,1
54,51,0,725,598,5,-8,1,70,56,0,273,616,116,196,4,0,1
52,46,0,820,749,1,-7,1,324,131,687,297,585,120,181,4,0,1
50,61,1,844,462,6,-9,0,703,185,0,384,373,80,152,4,0,1
44,87,1,799,492,3,-9,1,178,59,1,159,381,94,302,4,0,1
41,48,0,733,868,10,-3,0,279,57,0,140,751,100,213,4,0,1
30,56,0,716,929,3,-8,0,97,19,394,382,850,128,229,4,0,1
51,77,0,486,456,1,-10,1,250,878,0,98,621,76,209,4,0,1
48,57,0,697,660,8,-11,0,87,868,864,65,433,108,103,4,0,1
49,63,0,696,362,0,-10,1,91,242,8,80,130,123,271,4,0,1
52,49,0,651,850,4,-7,0,107,12,773,467,701,124,146,4,0,1
48,90,0,525,66,0,-16,1,84,781,0,326,210,109,249,4,0,1
52,57,0,683,467,8,-10,0,564,667,0,441,383,76,135,4,0,1
55,1,0,944,883,7,-5,0,76,6,1,60,1000,120,289,4,0,1
50,42,0,917,944,6,-8,0,130,5,839,63,783,129,305,4,0,1
