id,artist,name,album,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
5fIZ683j2xPeLAXfHeWKEG,Indila,Dernière danse - Techno Mix,Dernière danse (Techno Mix),2024-01-26,75,False,0.589,0.734,0,-5.365,0,0.077,0.0289,0.000299,0.326,0.356,140.004,197143,4,french pop
29e0Ua6WaDabP2zpGu8YIv,Fred again..,Jungle,USB,2022-01-18,69,True,0.665,0.727,1,-8.073,0,0.0391,0.00984,0.394,0.172,0.397,133.922,198806,4,edm;house;stutter house
4S1VYqwfkLit9mKVY3MXoo,Alphaville,Forever Young,Forever Young,1984,87,False,0.489,0.482,9,-9.466,0,0.0275,0.417,0.00227,0.235,0.33,136.803,226706,4,new romantic;new wave pop;synthpop
7ABMV7gt2YIQGBjkQ3IqZz,Russo,Onder Invloed,Onder Invloed,2024-06-21,60,False,0.731,0.647,9,-7.156,1,0.0364,0.148,0.0,0.193,0.57,120.107,164500,4,lustrum
5w9upngVRHNjdZcRC7Xxr2,Fred again..,Delilah (pull me out of this),Actual Life 3 (January 1 - September 9 2022),2022-10-28,74,False,0.685,0.827,10,-7.745,1,0.224,0.138,0.00207,0.374,0.586,133.93,250702,4,edm;house;stutter house
7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,Beauty Behind The Madness,2015-08-28,85,True,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253,4,canadian contemporary r&b;canadian pop;pop
1oH6oeK8iKeRL9VTQY5w2r,Tobiahs,Lifetime,Lifetime,2024-01-12,69,False,0.818,0.629,10,-9.79,0,0.096,0.139,0.777,0.0877,0.0781,135.135,158823,4,aussietronica;stutter house
4JHg4nNYUJQ5HULcCmI18R,Two Door Cinema Club,What You Know,Tourist History,2010-03-01,75,False,0.549,0.758,6,-3.991,0,0.0406,0.000673,6.79e-06,0.0926,0.822,139.052,189693,4,indie rock;indietronica;irish rock;modern alternative rock;modern rock;northern irish indie
4whbY04VBh05m7vktoNbRz,Corella,Let On,Let On,2019-01-18,52,False,0.455,0.945,6,-5.357,0,0.0704,5.51e-05,0.0,0.122,0.641,155.992,147360,4,english indie rock;manchester indie
5JEzgajKcC4eIQfRu3cZk7,Loreen,Is It Love,Is It Love,2023-10-13,69,False,0.43,0.788,6,-5.615,0,0.0684,0.119,0.0,0.11,0.33,120.275,143669,4,europop
14Z6bWa5MGCXoRm8JCBxCs,Corella,Do You Want It?,Do You Want It?,2022-06-16,42,False,0.221,0.851,6,-4.618,0,0.0458,9.45e-06,0.0435,0.216,0.194,174.071,190915,4,english indie rock;manchester indie
